taxonomy_id	name	rank	BGG_KOSDC	BGG_MOSDA	BGG_QOSDA	BGG_POSDC	BGG_BOSW	BGG_NOSDA	BGG_LOSDA	BGG_ROSDA	BGG_OOSDC
2756133	Achromobacter sp. 77	species	4	12	0	16	13	92	0	2	6
2860286	Achromobacter sp. ES-001	species	1	3	2	2	19	3	2	4	1
85698	Achromobacter xylosoxidans	species	78	46	41	44	485	119	59	31	218
762376	Achromobacter xylosoxidans A8	strain	28	9	2	18	149	41	1	8	40
1167634	Achromobacter xylosoxidans NH44784-1996	strain	10	2	0	0	3	0	1	0	3
217203	Achromobacter spanius	species	40	94	20	40	409	41	22	24	109
1353889	Achromobacter pestifer	species	34	16	3	50	80	3	3	3	38
1353891	Achromobacter deleyi	species	31	11	14	8	314	6	6	17	60
217204	Achromobacter insolitus	species	28	15	9	18	182	27	8	31	31
1389922	Achromobacter mucicolens	species	2	7	3	1	20	108	0	1	25
517	Bordetella	genus	1112	821	320	1020	2057	343	355	154	3062
2630031	unclassified Bordetella	no rank	20	4	3	30	15	0	15	1	23
1697043	Bordetella sp. H567	species	88	47	24	112	240	62	14	18	303
1746199	Bordetella sp. N	species	64	47	8	39	178	15	22	12	148
521	Bordetella avium	species	104	51	1	122	103	3	8	3	65
1416803	Bordetella genomosp. 9	species	96	83	36	208	262	83	35	20	454
463014	Bordetella flabilis	species	65	92	18	89	241	136	14	69	114
463025	Bordetella bronchialis	species	57	49	24	67	273	6	9	20	146
518	Bordetella bronchiseptica	species	53	16	6	16	100	14	19	7	49
463040	Bordetella genomosp. 13	species	51	43	15	78	233	10	4	6	303
94624	Bordetella petrii	species	48	69	25	47	226	4	10	11	177
1416806	Bordetella genomosp. 8	species	36	29	11	32	238	2	5	12	138
1331258	Bordetella pseudohinzii	species	24	4	2	32	75	7	0	4	15
35814	Bordetella holmesii	species	22	0	5	1	59	2	6	6	10
103855	Bordetella hinzii	species	20	26	16	19	154	3	15	10	62
123899	Bordetella trematum	species	17	23	6	8	150	3	8	2	61
463024	Bordetella genomosp. 6	species	2	8	5	8	14	0	2	4	6
520	Bordetella pertussis	species	1	1	0	1	14	9	10	3	8
152267	Pigmentiphaga	genus	2	6	0	3	40	0	0	0	5
2626614	unclassified Pigmentiphaga	no rank	0	0	0	0	0	0	0	0	0
2488560	Pigmentiphaga sp. H8	species	207	142	61	148	838	124	50	90	451
1940612	Pigmentiphaga aceris	species	71	81	28	60	321	10	22	30	104
359336	Castellaniella	genus	0	0	0	0	0	0	0	0	0
75697	Castellaniella defragrans	species	0	0	0	0	0	0	0	0	0
1437824	Castellaniella defragrans 65Phen	strain	69	49	118	54	235	3	23	10	291
305976	Pusillimonas	genus	3	4	642	8	321	0	0	2	38
2640016	unclassified Pusillimonas	no rank	0	1	81	0	21	0	0	0	1
1007105	Pusillimonas sp. T7-7	species	26	33	740	18	766	6	2	4	64
2716226	Pusillimonas sp. DMV24BSW_D	species	2	1	18	2	78	1	5	2	4
2028345	Pusillimonas thiosulfatoxidans	species	26	18	562	16	500	5	11	25	39
1921582	Orrella	genus	0	0	0	0	0	0	0	0	0
1851544	Orrella dioscoreae	species	49	27	35	27	204	5	9	13	158
2163011	Orrella marina	species	5	24	16	2	113	0	6	6	25
507	Alcaligenes	genus	9	51	104	14	189	1	33	5	44
511	Alcaligenes faecalis	species	9	27	34	12	238	13	9	12	43
